,Product,Category,Ingredients
10105,"e.l.f. Cosmetics Squeeze Me Lip Balm, Grape Rating",Lip Balm,Triisostearin  Hydrogenated Polyisobutene  Polyglyceryl-10 Pentaisostearate  Dextrin Palmitate  Ethylhexylglycerin  Diethylhexyl Syringylidenemalonate  Fragrance (Parfum)  Squalane  Simethicone  Caprylic/Capric Triglyceride  Butyrospermum Parkii (Shea Butter)  Water (Aqua)  Ricinus Communis (Castor) Seed Oil  Butylene Glycol  Glycerin  Tocopherol  Sodium Hyaluronate  Maltodextrin  Hydrogenated Castor Oil  Lycium Chinense Fruit Extract  1 2- Hexanediol  Calcium Pantothenate  Xanthan Gum  Urea  Caprylyl Glycol  Magnesium Lactate  Papain  Soluble Collagen  Potassium Lactate  Proline  Alanine  Serine  Magnesium Chloride  Sodium Citrate  Benzyl Benzoate  Cinnamyl Alcohol. May Contain: Titanium Dioxide (CI 77891)  Yellow Iron Oxide (CI 77492)
10106,"CareOne Kills Germs That Cause Bad Breath, Plaque and the Gum Disease",Mouthwash,Active Ingredients: EUCALPYTOL 0.09%  MENTHOL 0.042%  METHYL SALICYLATE 0.6%  THYMOL 0.064%; Inactive Ingredients: WATER  ALCOHOL (21.6%)  SORBITOL SOLUTION  FLAVOR  POLOXAMER 407  BENZOIC ACID  SODIUM SACCHARIN  SODIUM CITRATE  D&C YELLOW NO. 10  FD&C GREEN NO. 3
10107,"Softlips Lip Protectant, Vanilla Rating",Lip Balm,Active Ingredients: DIMETHICONE 2.0%; Inactive Ingredients: OZOKERITE  PETROLATUM  ETHYLHEXYL PALMITATE  OCTYLDODECANOL  SQUALANE  MYRISTYL MYRISTATE  RICINUS COMMUNIS (CASTOR) SEED OIL  MYRISTYL LACTATE  CETYL ALCOHOL  MYRISTYL LAURATE  MYRISTYL ALCOHOL  BHT  FLAVOR  MENTHOL  TOCOPHERYL ACETATE [VITAMIN E]
10108,"Tarte Quench Lip Rescue, (Nude, Rose, Berry) (2019 formulation) Rating",Lip Balm,Polybutene  simmondsia chinensis (jojoba) seed oil  punica granatum sterols  diisostearyl malate  polyethylene  C12-15 alkyl lactate  octyldodecanol  isostearyl hydroxystearate  triisostearyl citrate  trimethylolpropane triisostearate  candelilla cera/euphorbia cerifera (candelilla) wax/cire de candelilla  caprylic/capric triglyceride  tridecyl trimellitate  ethylhexyl palmitate  hydrogenated polycyclopentadiene  aroma  algae extract  astrocaryum murumuru seed butter  butylene glycol  caprylyl glycol  cocos nucifera (coconut) oil  gardenia taitensis flower extract  hexylene glycol  palmitoyl tripeptide-1  phenoxyethanol  silica dimethyl silylate  sodium hyaluronate  sorbitan isostearate  tetrahexyldecyl ascorbate  theobroma grandiflorum seed butter  tocopherol  tocopheryl acetate  tribehenin. (+/-): Red 7 Lake (CI 15850)  yellow 5 lake (CI 19140)  red 30 lake (CI 73360)  iron oxides (CI 77491  CI 77492  CI 77499)  titanium dioxide (CI 77891).
10109,Right Guard Sport Powder Dry Antiperspirant (2020 formulation) Rating,Antiperspirant/Deodorant,Active Ingredients: Aluminum Chlorohydrate 20.0%; Inactive Ingredients: INACTIVE INGREDIENTS: BUTANE  CYCLOMETHICONE  HYDROFLUOROCARBON 152A  PPG-14 BUTYL ETHER  ISOBUTANE  DISTEARDIMONIUM HECTORITE  PROPANE  PROPYLENE CARBONATE  PARFUM (FRAGRANCE)
10110,Fresh Rose Deep Hydration Petal-Soft Lip Balm Rating,Lip Balm,Isononyl Isononanoate  C10-30 Cholesterol/Lanosterol Esters  Bis-Diglyceryl Poly-acyladipate-2  Cera Microcristallina (Microcrystalline Wax)  Polybutene  Ethylene/Propylene/Styrene Co-polymer  Glyceryl Behenate/Eicosadioate  Prunus Armeniaca (Apricot) Kernel Oil  Butylene/Ethylene/Styrene Copolymer  Ribes Nigrum (Black Currant) Seed Oil  Vitis Vinifera (Grape) Seed Oil  Rosa Damascena Extract  Rosa Damascena Flower Oil  Tocopherol  Ascorbyl Palmitate  Silica Silylate  Benzo-triazolyl Dodecyl p-Cresol  Parfum (Fragrance)  Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinna-mate  CI 77891 (Titanium Dioxide)  BHT  Polyglyceryl-2 Triisostearate  Aqua (Water)  Trimethylolpropane Triisostearate  CI 15850 (Red 7)  CI 15985 (Yellow 6 Lake)  Propyl Gallate  Citronellol  Geraniol  Limonene <14416/A>
10111,Heel to Toe Large Foot Softener Stick (2020 formulation) Rating,Foot Moisturizer,RICINUS COMMUNIS (CASTOR) SEED OIL  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  BEESWAX  LANOLIN  FRAGRANCE  COPERNICIA CERIFERA (CARNAUBA) WAX  TOCOPHERYL ACETATE  THEOBROMA CACAO (COCOA) SEED BUTTER  PAPAIN  HIPPOPHAE RHAMNOIDES OIL  ALPHA ISOMETHYL IONONE  BENZYL BENZOATE  BENZYL SALICYLATE  BUTYLPHENYL METHYLPROPIONAL  CITRAL  CITRONELLOL  COUMARIN  GERANIOL  HYDROXYCITRONELLOL  HYDROXYISOHEXYL 3-CYCLOHEXENE CARBONXALD  LIMONENE  LINALOOL
10112,"Lip Smacker Lip Balm, Mint to Celebrate Rating",Lip Balm,RICINUS COMMUNIS (CASTOR) SEED OIL  CAPRYLIC/CAPRIC TRIGLYCERIDE  BEESWAX  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  EUPHORBIA CERIFERA (CANDELILLA) WAX  POLYBUTENE  ETHYLHEXYL PALMITATE  PARAFFIN  FLAVOR/AROMA  COPERNICIA CERIFERA (CARNAUBA) WAX  HYDROGENATED SOYBEAN OIL  TRIDECYL TRIMELLITATE  MICROCRYSTALLINE WAX  PENTAERYTHRITYL STEARATE/CAPRATE/CAPRYLATE/ADIPATE  STEARIC ACID  SUCRALOSE  PROPYLENE GLYCOL  PROPYL GALLATE  CITRIC ACID  PHENOXYETHANOL  TOCOPHEROL  GLYCINE SOJA (SOYBEAN) OIL  TITANIUM DIOXIDE (CI 77891)  RED 28 LAKE (CI 45410)  YELLOW 5 LAKE (CI 19140)
10113,"Makeup Revolution Balm Glow , Sunkissed Nude Rating",Blush,Triethylhexanoin  Polybutene  Polyglyceryl-2 Triisostearate  Cera Microcristallina (Microcrystalline Wax  Cire Microcristalline)  Diisostearyl Malate  Pentaerythrityl Tetraethylhexanoate  Silica  Bis-Diglyceryl Polyacyladipate-2  Mica  Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate  Polyethylene  Dicalcium Phosphate Dihydrate  Macadamia Ternifolia Seed Oil  Limnanthes Alba (Meadowfoam) Seed Oil  Simmondsia Chinensis (Jojoba) Seed Oil  Ethylhexyl Palmitate  Aqua (Water  Eau)  Silica Dimethyl Silylate  Tocopheryl Acetate  Caprylyl Glycol  Paraffinum Liquidum (Mineral Oil  Huile Minerale)  Ethylhexylglycerin  Isopropyl Myristate  Petrolatum  Bisdiglyceryl Polyacyladipate-1  Parfum (Fragrance)  Citral  Linalool  Limonene  Geraniol  Ci 77891 (Titanium Dioxide)  Ci 77491 (Iron Oxides)  Ci 77499 (Iron Oxides)
10114,"Degree Antiperspirant Deodorant Dry Spray, Adventure Rating",Antiperspirant/Deodorant,Active Ingredients: Aluminum Chlorohydrate 23.3%; Inactive Ingredients: BUTANE  CYCLOPENTASILOXANE  HYDROFLUOROCARBON 152A  ISOBUTANE  PPG-14 BUTYL ETHER  FRAGRANCE (PARFUM)  DISTEARDIMONIUM HECTORITE  PROPANE  BHT  CAPRYLIC/CAPRIC TRIGLYCERIDE  SODIUM STARCH OCTENYLSUCCINATE  PROPYLENE CARBONATE  MALTODEXTRIN  HYDRATED SILICA  HYDROLYZED CORN STARCH  GELATIN CROSSPOLYMER  SILICA  CELLULOSE GUM  SODIUM BENZOATE.
10115,Degree Black + White Pure Clean Antiperspirant Deodorant Dry Spray Rating,Antiperspirant/Deodorant,Active Ingredients: Aluminum Chlorohydrate 20.2%; Inactive Ingredients: BUTANE  CYCLOPENTASILOXANE  HYDROFLUOROCARBON 152A  ISOBUTANE  PPG-14 BUTYL ETHER  DISTEARDIMONIUM HECTORITE  PROPANE  FRAGRANCE (PARFUM)  BHT  PROPYLENE CARBONATE  CAPRYLIC/CAPRIC TRIGLYCERIDE  SODIUM STARCH OCTENYLSUCCINATE  MALTODEXTRIN  HYDRATED SILICA  HYDROLYZED CORN STARCH OCTENYLSUCCINATE  GELATIN CROSSPOLYMER  SILICA  CELLULOSE GUM  SODIUM BENZOATE
10116,Lidl Anticavity Fluoride Mouthwash (2020 formulation) Rating,Mouthwash,SODIUM FLUORIDE  WATER  ALCOHOL (21.6%)  SORBITOL  POLOXAMER 407  SODIUM LAURYL SULFATE  EUCALYPTOL  FLAVOR  METHYL SALICYLATE  THYMOL  PHOSPHORIC ACID  SUCRALOSE  MENTHOL  DISODIUM PHOSPHATE  RED 40  BLUE 1
10117,"Bath & Body Works White Barn Gentle Foaming Hand Soap, Frosted Cranberry",Liquid Hand Soap,WATER (AQUA  EAU)  AMMONIUM LAURYL SULFATE  OLETH-10  FRAGRANCE (PARFUM)  DISODIUM LAURETH SULFOSUCCINATE  COCAMIDOPROPYL BETAINE  PROPANEDIOL  PEG-120 METHYL GLUCOSE DIOLEATE  HYDROXYETHYL UREA  CITRUS LIMON (LEMON) PEEL OIL  CITRIC ACID  ALOE BARBADENSIS LEAF JUICE  TETRASODIUM GLUTAMATE DIACETATE  GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE  TRIETHYLENE GLYCOL  BENZYL ALCOHOL  CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL  PROPYLENE GLYCOL  TOCOPHERYL ACETATE  BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT  BENZOPHENONE-4  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  SODIUM HYDROXIDE  LIMONENE  LINALOOL.
10118,"Lip Smacker Aguas Frescas Lip Balm, Tropical Passion Fruit (2018",Lip Balm,RICINUS COMMUNIS (CASTOR) SEED OIL  CETYL ACETATE  BEESWAX  EUPHORBIA CERIFERA (CANDELILLA) WAX  FLAVOR/AROMA  POLYBUTENE  PARAFFIN  SESAMUM INDICUM (SESAME) SEED OIL  COPERNICIA CERIFERA (CARNAUBA) WAX  HYDROGENATED SOYBEAN OIL  MINERAL OIL  ACETYLATED LANOLIN ALCOHOL  MICROCRYSTALLINE WAX  TRITICUM VULGARE (WHEAT) GERM OIL  STEARIC ACID  STEVIA REBAUDIANA LEAF/STEM EXTRACT  SUCRALOSE  PROPYLENE GLYCOL  PROPYL GALLATE  CITRIC ACID  PHENOXYETHANOL  TOCOPHEROL. MAY CONTAIN: RED 6 LAKE (CI 15850)  RED 7 LAKE (CI 15850)  TITANIUM DIOXIDE (CI 77891)  YELLOW 5 LAKE (CI 19140).
10119,"MAC Glow Play Lip Balm, Rouge Awakening Rating",Lip Balm,DIISOSTEARYL MALATE  HYDROGENATED POLYISOBUTENE  VP/HEXADECENE COPOLYMER  OCTYLDODECYL STEAROYL STEARATE  POLYETHYLENE  PENTAERYTHRITYL TETRAISOSTEARATE  OZOKERITE  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  MANGIFERA INDICA (MANGO) SEED BUTTER  BUTYROSPERMUM PARKII (SHEA) BUTTER  CAPRYLIC/CAPRIC TRIGLYCERIDE  DIETHYLHEXYL SYRINGYLIDENEMALONATE  TIN OXIDE  SYNTHETIC FLUORPHLOGOPITE  CITRIC ACID  FLAVOR (AROMA) [+/- MICA  TITANIUM DIOXIDE (CI 77891)  IRON OXIDES (CI 77491)  IRON OXIDES (CI 77492)  IRON OXIDES (CI 77499)  BISMUTH OXYCHLORIDE (CI 77163)  BLUE 1 LAKE (CI 42090)  BRONZE POWDER (CI 77400)  CARMINE (CI 75470)  COPPER POWDER (CI 77400)  MANGANESE VIOLET (CI 77742)  RED 6 (CI 15850)  RED 7 (CI 15850)  RED 21 (CI 45380)  RED 27 (CI 45410)  RED 28 (CI 45410)  RED 30 (CI 73360)  RED 7 LAKE (CI 15850)  RED 22 LAKE (CI 45380)  RED 28 LAKE (CI 45410)  RED 30 LAKE (CI 73360)  RED 33 LAKE (CI 17200)  YELLOW 5 LAKE (CI 19140)  YELLOW 6 LAKE (CI 15985)]
10120,"Lip Smacker Lip Balm, Grapeful 4 U ! Rating",Lip Balm,RICINUS COMMUNIS (CASTOR) SEED OIL  CETYL ACETATE  BEESWAX/CIRE D'ABEILLE  EUPHORBIA CERIFERA (CANDELILLA) WAX/CIRE DE CANDELILLA  FLAVOR/AROMA  POLYBUTENE  PARAFFIN  SESAMUM INDICUM (SESAME) SEED OIL  COPERNICIA CERIFERA (CARNAUBA) WAX/CIRE DE CARNAUBA  HYDROGENATED SOYBEAN OIL  MINERAL OIL/HUILE MIN RALE  ACETYLATED LANOLIN ALCOHOL  MICROCRYSTALLINE WAX/CIRE MICROCRISTALLINE  TRITICUM VULGARE (WHEAT) GERM OIL  STEARIC ACID  SUCRALOSE  PROPYLENE GLYCOL  PROPYL GALLATE  CITRIC ACID  PHENOXYETHANOL  TOCOPHEROL  GLYCINE SOJA (SOYBEAN) OIL  BLUE 1 LAKE (CI 42090)  RED 7 LAKE (CI 15850).
10121,"Listerine Mouthwash, Limited Edition Green Tea & Mint (2020 formulation)",Mouthwash,WATER  SORBITOL  PROPYLENE GLYCOL  CAMELLIA SINENSIS LEAF EXTRACT  SODIUM LAURYL SULFATE  FLAVOR  POLOXAMER 407  EUCALYPTOL  BENZOIC ACID  SODIUM BENZOATE  METHYL SALICYLATE  THYMOL  MENTHOL  SODIUM SACCHARIN  SUCRALOSE  YELLOW 10  GREEN 3
10122,"Raw Sugar Simply Hand Wash, Lemon Sugar (2019 formulation) Rating",Liquid Hand Soap,PURIFIED WATER  COCAMIDOPROPYL BETAINE  SODIUM C14-16 OLEFIN SULFONATE  SODIUM COCOAMPHOACETATE  SODIUM LAUROYL SARCOSINATE  LAURYL GLUCOSIDE  SODIUM COCOYL GLUTAMATE  SODIUM LAURYL GLUCOSE CARBOXYLATE  GLYCERIN  *OLEA EUROPAEA (OLIVE) FRUIT OIL  *LIMNANTHES ALBA (MEADOWFOAM) SEED OIL  *SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  *CITRUS LIMON (LEMON) FRUIT EXTRACT  *SACCHARUM OFFICINARUM (SUGARCANE) EXTRACT  *ALOE BARBADENSIS (ALOE VERA) LEAF JUICE  *SYMPHYTUM OFFICINALE (COMFREY) LEAF EXTRACT  *ZINGIBER OFFICINALE (GINGER) ROOT EXTRACT  DECYL GLUCOSIDE  POLYQUATERNIUM-7  PEG 150 DISTEARATE  POLYSORBATE 20  GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE  CITRIC ACID  SODIUM CHLORIDE  PHENOXYETHANOL  DEHYDROACETIC ACID  BENZYL ALCOHOL  FRAGRANCE
10123,"Nivea Pampering Body Wash, Coconut & Almond Milk Rating",Body Wash/Cleanser,WATER  SODIUM LAURETH SULFATE  COCAMIDOPROPYL BETAINE  PEG-7 GLYCERYL COCOATE  GLYCERIN  PANTHENOL  PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  GLYCINE SOJA (SOYBEAN) OIL  TOCOPHERYL ACETATE  PALMITIC ACID  STEARIC ACID  MYRISTIC ACID  ARACHIDIC ACID  OLEIC ACID  SODIUM CHLORIDE  PEG-3 DISTEARATE  CITRIC ACID  PEG-40 HYDROGENATED CASTOR OIL  PEG-200 HYDROGENATED GLYCERYL PALMATE  PEG-90 GLYCERYL ISOSTEARATE  POLYQUATERNIUM-7  LAURETH-2  FRAGRANCE  SODIUM BENZOATE  SODIUM HYDROXIDE  BENZOPHENONE-4  RED 40  BLUE 1
10124,"Milk Makeup Kush Lip Balm, Green Dragon (2020 formulation) Rating",Lip Balm,: Olea Europaea (Olive) Fruit Oil  Bis-Diglyceryl Polyacyladipate-2  Silica  Simmondsia Chinensis (Jojoba) Seed Oil  Butyrospermum Parkii (Shea) Butter  Hydrogenated Polyisobutene  Helianthus Annuus (Sunflower) Seed Wax  Phytosteryl/Octyldodecyl Lauroyl Glutamate  Mango Butter Dimer Dilinoleyl Esters/Dimer Dilinoleate Copolymer  Moringa Oil/Hydrogenated Moringa Oil Esters  Polyglyceryl-10 Pentaisostearate  Cocos Nucifera (Coconut) Oil  Hydrogenated Castor Oil Dimer Dilinoleate  Caprylic/Capric Triglyceride  C10-18 Triglycerides  Lauryl Laurate  Polyhydroxystearic Acid  Tribehenin  Hydrogenated Vegetable Oil/Huile V g tale Hydrog n e  Jojoba Esters  Fragrance (Parfum)  Mentha Piperita (Peppermint) Oil  Theobroma Cacao (Cocoa) Seed Butter  Cannabis Sativa Seed Oil  Cannabis Sativa Seed Extract  Rosmarinus Officinalis (Rosemary) Leaf Extract  Stevia Rebaudiana Extract  Acacia Decurrens Flower Wax  Polyglycerin-3  Tocopheryl Acetate  Helianthus Annuus (Sunflower) Seed Oil  Quercetin  Tocopherol  Citral  Geraniol  Limonene  Linalool  [+/- May Contain/Peut Contenir: Mica  Iron Oxides (CI 77492)  Yellow 5 Lake (CI 19140)  Blue 1 Lake (CI 42090)]
10125,"Tony Moly Kiss Chu Lip Balm, 01 Romance Red Rating",Lip Balm,Helianthus Annuus (Sunflower) Seed Oil  Caprylic/Capric Triglyceride  Hydrogenated Castor Oil Dimer Dilinoleate  Ricinus Communis (Castor) Seed Oil  Argania Spinosa Kernel Oil  C10-18 Triglycerides  Sorbitan Olivate  Euphorbia Cerifera (Candelilla) Wax  Butyrospermum Parkii (Shea) Butter  Diisostearyl Malate  Copernicia Cerifera (Carnauba) Wax  Cetearyl Alcohol  Polyglyceryl-2 Oleate  CI 15985  Polyhydroxystearic Acid  Silica  Fragrance  Cetearyl Glucoside  Polyglyceryl-2 Stearate  CI 15850:1  Titanium Dioxide  Dehydroacetic Acid  Tocopherol  Prunus Amygdalus Dulcis (Sweet Almond) Oil  Olea Europaea (Olive) Fruit Oil  Cocos Nucifera (Coconut) Oil
10126,"Degree MotionSense , Fresh Energy Rating",Antiperspirant/Deodorant,Active Ingredients: Aluminum Chlorohydrate 23.3%; Inactive Ingredients: BUTANE  CYCLOPENTASILOXANE  HYDROFLUOROCARBON 152A  ISOBUTANE  PPG-14 BUTYL ETHER  FRAGRANCE (PARFUM)  DISTEARDIMONIUM HECTORITE  PROPANE  PROPYLENE CARBONATE  BHT  CAPRYLIC/CAPRIC TRIGLYCERIDE  SODIUM STARCH OCTENYLSUCCINATE  MALTODEXTRIN  HYDRATED SILICA  HYDROLYZED CORN STARCH  GELATIN CROSSPOLYMER  SILICA  CELLULOSE GUM  SODIUM BENZOATE.
10127,"Pixi Vit C+ Brightening Perfector, Tonecorrect 0284 Rating",Skin Fading/Lightener,AQUA/WATER/EAU  CAPRYLIC/CAPRIC TRIGLYCERIDE  DICAPRYLYL CARBONATE  CETYL ETHYLHEXANOATE  TRIBEHENIN  OCTYLDODECANOL  POLYGLYCERYL-6 POLYHYDROXYSTEARATE  DISTEARDIMONIUM HECTORITE  GLYCERIN  DIPROPYLENE GLYCOL  SILICA  POLYGLYCERYL-6 POLYRICINOLEATE  SODIUM CHLORIDE  1 2-HEXANEDIOL  CAMELLIA SINENSIS LEAF EXTRACT  CITRUS LIMON (LEMON) FRUIT EXTRACT  GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT  HIPPOPHAE RHAMNOIDES EXTRACT  SQUALANE  CAFFEINE  ASCORBIC ACID  FERULIC ACID  CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL  CAPRYLIC/CAPRIC GLYCERIDES  SYNTHETIC FLUORPHLOGOPITE  PROPYLENE CARBONATE  ZEIN  SILICA DIMETHYL SILYLATE  TRIETHOXYCAPRYLYLSILANE  ZEA MAYS (CORN) STARCH  HYDROGENATED LECITHIN  PHENOXYETHANOL  CITRAL  LIMONENE  TITANIUM DIOXIDE (CI 77891)  IRON OXIDES (CI 77491  CI 77492).
10128,Equate Antibacterial Liquid Hand Soap Light Moisturizing (2020,Liquid Hand Soap,Active Ingredients: BENZALKONIUM CHLORIDE 0.13%; Inactive Ingredients: WATER  LAURAMINE OXIDE  COCAMIDOPROPYL BETAINE  LAURAMIDOPROPYLAMINE OXIDE  SODIUM CHLORIDE  MYRISTAMIDOPROPYLAMINE OXIDE  GLYCERIN  FRAGRANCE  DISTEARETH-75 IPDI  PEG-150 DISTEARATE  CITRIC ACID  TETRASODIUM EDTA  BENZOPHENONE-4  SODIUM BENZOATE  RED 33  RED 40  YELLOW 5
10129,"Milk Makeup Kush Lip Balm, Cannatonic (2020 formulation) Rating",Lip Balm,: Olea Europaea (Olive) Fruit Oil  Bis-Diglyceryl Polyacyladipate-2  Silica  Simmondsia Chinensis (Jojoba) Seed Oil  Butyrospermum Parkii (Shea) Butter  Hydrogenated Polyisobutene  Helianthus Annuus (Sunflower) Seed Wax  Phytosteryl/Octyldodecyl Lauroyl Glutamate  Mango Butter Dimer Dilinoleyl Esters/Dimer Dilinoleate Copolymer  Moringa Oil/Hydrogenated Moringa Oil Esters  Polyglyceryl-10 Pentaisostearate  Cocos Nucifera (Coconut) Oil  Hydrogenated Castor Oil Dimer Dilinoleate  Caprylic/Capric Triglyceride  C10-18 Triglycerides  Lauryl Laurate  Polyhydroxystearic Acid  Tribehenin  Hydrogenated Vegetable Oil/Huile V g tale Hydrog n e  Jojoba Esters  Fragrance (Parfum)  Mentha Piperita (Peppermint) Oil  Theobroma Cacao (Cocoa) Seed Butter  Cannabis Sativa Seed Oil  Cannabis Sativa Seed Extract  Rosmarinus Officinalis (Rosemary) Leaf Extract  Stevia Rebaudiana Extract  Acacia Decurrens Flower Wax  Polyglycerin-3  Tocopheryl Acetate  Helianthus Annuus (Sunflower) Seed Oil  Quercetin  Tocopherol  Citral  Geraniol  Limonene  Linalool  [+/- May Contain/Peut Contenir: Mica  Iron Oxides (CI 77492)  Yellow 5 Lake (CI 19140)  Blue 1 Lake (CI 42090)]
10130,"Lip Smacker Hello Kitty Lip Balm, Cheerful Cherry Rating",Lip Balm,RICINUS COMMUNIS (CASTOR) SEED OIL  CETYL ACETATE  BEESWAX/CIRE D'ABEILLE  EUPHORBIA CERIFERA (CANDELILLA) WAX/CIRE DE CANDELILLA  POLYBUTENE  PARAFFIN  FLAVOR/AROMA  SESAMUM INDICUM (SESAME) SEED OIL  COPERNICIA CERIFERA (CARNAUBA) WAX/CIRE DE CARNAUBA  HYDROGENATED SOYBEAN OIL  MINERAL OIL/HUILE MINERALE  ACETYLATED LANOLIN ALCOHOL  MICROCRYSTALLINE WAX/CIRE MICROCRISTALLINE  TRITICUM VULGARE (WHEAT) GERM OIL  STEARIC ACID  SUCRALOSE  PROPYLENE GLYCOL  PROPYL GALLATE  CITRIC ACID  PHENOXYETHANOL  TOCOPHEROL  GLYCINE SOJA (SOYBEAN) OIL  YELLOW 5 LAKE (CI 19140)  RED 7 LAKE (CI 15850)  IRON OXIDES (CI 77499).
10131,"Bath & Body Works, White Barn Gentle Foaming Hand Soap, Fresh Cut Lilacs",Liquid Hand Soap,WATER (AQUA  EAU)  AMMONIUM LAURYL SULFATE  FRAGRANCE (PARFUM)  OLETH-10  DISODIUM LAURETH SULFOSUCCINATE  COCAMIDOPROPYL BETAINE  PROPANEDIOL  PEG-120 METHYL GLUCOSE DIOLEATE  HYDROXYETHYL UREA  ALOE BARBADENSIS LEAF JUICE  CITRIC ACID  TETRASODIUM GLUTAMATE DIACETATE  GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE  TRIETHYLENE GLYCOL  BENZYL ALCOHOL  PROPYLENE GLYCOL  TOCOPHERYL ACETATE  BUTYROSPERMUM PARKII (SHEA) BUTTER EXTRACT  BENZOPHENONE-4  METHYLCHLOROISOTHIAZOLINONE  METHYLISOTHIAZOLINONE  SODIUM HYDROXIDE  BENZYL SALICYLATE  HEXYL CINNAMAL  GERANIOL  LINALOOL  CITRONELLOL  HYDROXYCITRONELLAL  LIMONENE.
10132,Black and White Skin Tone Cream Rating,Skin Fading/Lightener,WATER  GLYCERIN  OCTYLDODECANOL  CAPRYLIC/CAPRIC TRIGLYCERIDE  JOJOBA ESTERS  ISOSORBIDE DICAPRYLATE  GLYCERYL STEARATE SE  BUTYROSPERMUM PARKII (SHEA) BUTTER  HYDROGENATED POLYDECENE  PROPYLENE GLYCOL  BEHENYL ALCOHOL  POTASSIUM CETYL PHOSPHATE  STEARIC ACID  HEXYLRESORCINOL  ALOE BARBADENSIS LEAF JUICE  HYDROGENATED PALM GLYCERIDES  ASCORBIC ACID  TOCOPHEROL  PHENOXYETHANOL  CAPRYLYL GLYCOL  ETHYLHEXYLGLYCERIN  CARBOMER  PHOSPHORIC ACID  XANTHAN GUM  DISODIUM EDTA  SODIUM HYDROXIDE  SODIUM BENZOATE  CITRIC ACID  POTASSIUM SORBATE  SODIUM SULFITE  FRAGRANCE
10133,"More Than Magic Lip Balm, Black Cherry Champ (2019 formulation) Rating",Lip Balm,: ETHYLHEXYL PALMITATE  POLYISOBUTENE  SQUALANE  CERESIN  BEESWAX  FRAGRANCE  PHENOXYETHANOL  BHT  SODIUM SACCHARIN. MAY CONTAIN: RED 6 LAKE  RED 27 LAKE  BLUE 1 LAKE  YELLOW 5 LAKE  IRON OXIDES.
10134,"Lip Smacker Lip Balm, Jolly Soda Pop, Gingerbread, Candy Cane,",Lip Balm,ISOPROPYL MYRISTATE  POLYISOBUTENE  ETHYLHEXYL PALMITATE  CERESIN  MICROCRYSTALLINE WAX/CIRE MICROCRISTALLINE  PHENOXYETHANOL  FRAGRANCE/PARFUM  PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE  [+/- (MAY CONTAIN/PEUT CONTENIR): BLUE 1 LAKE (CI 42090)  RED 7 LAKE (CI 15850)  RED 28 LAKE (CI 45410)  TITANIUM DIOXIDE (CI 77891)  YELLOW 5 LAKE (CI 19140)  IRON OXIDES (CI 77499).
10135,"Dial Hand Soap, Almond Milk (2019 formulation) Rating",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  SODIUM CHLORIDE  COCAMIDE MEA  POLYQUATERNIUM-7  COCAMIDOPROPYL BETAINE  PEG-18 GLYCERYL OLEATE/ COCOATE  FRAGRANCE  STYRENE/ACRYLATES COPOLYMER  PROPYLENE GLYCOL  PRUNUS AMYGDALUS (SWEET ALMOND) SEED EXTRACT  GLYCINE SOJA (SOYBEAN) SEED EXTRACT  PHOSPHOLIPIDS  XANTHAN GUM  SODIUM BENZOATE  DMDM HYDANTOIN  TETRASODIUM EDTA  CITRIC ACID  YELLOW 5  RED 4  RED 33  BLUE 1.
10136,"Softsoap Hydrating Hand Soap, Watermelon & Mint Rating",Liquid Hand Soap,WATER/EAU  SODIUM C12-13 PARETH SULFATE  COCAMIDOPROPYL BETAINE  SODIUM CHLORIDE  PARFUM/FRAGRANCE  COCAMIDE MEA  SODIUM SALICYLATE  SODIUM BENZOATE  CITRIC ACID  TETRASODIUM EDTA  ALOE BARBADENSIS LEAF EXTRACT  TOCOPHERYL ACETATE  POLYQUATERNIUM-7  PEG-18 GLYCERYL OLEATE/COCOATE  POLOXAMER 124  RED 4.
10137,Minions Lip Balm Scented (2020 formulation) Rating,Lip Balm,ETHYLHEXYL PALMITATE  POLYISOBUTENE  SQUALANE  CERESIN  BEESWAX  FRAGRANCE  PHENOXYETHANOL  BHT  SODIUM SACCHARIN. MAY CONTAIN: RED 6 LAKE  RED 27 LAKE  BLUE 1 LAKE  YELLOW 5 LAKE  IRON OXIDES RED  IRON OXIDES YELLOW  IRON OXIDES BLACK.
